ts,site,uplink,interval_s,down_bytes,up_bytes
2026-08-11T09:36:23.402244Z,KLO--UDM-1,wan,120,16080,16080
2026-08-11T09:36:23.402244Z,KNZ--UDM-1,wan,120,15960,24240
2026-08-11T09:36:23.402244Z,LSB--UDM-1,wan,120,360000,2088480
2026-08-11T09:36:23.402244Z,NID--UDM-1,wan,120,51480,51480
2026-08-11T09:36:23.402244Z,WTB--UDM-1,wan,120,192120,174240
2026-08-11T09:38:23.888165Z,HAN--UDM-1,wan,120,21240,21240
2026-08-11T09:38:23.888165Z,KLO--UDM-1,wan,120,585240,645720
2026-08-11T09:38:23.888165Z,KNZ--UDM-1,wan,120,22080,22080
2026-08-11T09:38:23.888165Z,LSB--UDM-1,wan,120,260160,4627080
2026-08-11T09:38:23.888165Z,NID--UDM-1,wan,120,92280,92280
2026-08-11T09:38:23.888165Z,WTB--UDM-1,wan,120,46320,23040
2026-08-11T09:40:34.301680Z,HAN--UDM-1,wan,120,15120,15120
2026-08-11T09:40:34.301680Z,KLO--UDM-1,wan,120,57600,57600
2026-08-11T09:40:34.301680Z,KNZ--UDM-1,wan,120,622320,567000
2026-08-11T09:40:34.301680Z,LSB--UDM-1,wan,120,188880,4139760
2026-08-11T09:40:34.301680Z,NID--UDM-1,wan,120,25800,25800
2026-08-11T09:40:34.301680Z,WTB--UDM-1,wan,120,16080,26760
2026-08-11T09:44:31.676223Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T09:44:31.676223Z,KLO--UDM-1,wan,120,16080,16080
2026-08-11T09:44:31.676223Z,KNZ--UDM-1,wan,120,35040,35880
2026-08-11T09:44:31.676223Z,LSB--UDM-1,wan,120,210240,4176960
2026-08-11T09:44:31.676223Z,NID--UDM-1,wan,120,51360,51360
2026-08-11T09:44:31.676223Z,WTB--UDM-1,wan,120,3286560,2121120
2026-08-11T09:46:32.027168Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T09:46:32.027168Z,KLO--UDM-1,wan,120,60360,60360
2026-08-11T09:46:32.027168Z,KNZ--UDM-1,wan,120,65880,83640
2026-08-11T09:46:32.027168Z,LSB--UDM-1,wan,120,262560,4782720
2026-08-11T09:46:32.027168Z,NID--UDM-1,wan,120,51480,51480
2026-08-11T09:46:32.027168Z,WTB--UDM-1,wan,120,64800,38760
2026-08-11T09:48:26.396369Z,HAN--UDM-1,wan,120,16080,16080
2026-08-11T09:48:26.396369Z,KLO--UDM-1,wan,120,16080,16080
2026-08-11T09:48:26.396369Z,KNZ--UDM-1,wan,120,48720,48720
2026-08-11T09:48:26.396369Z,LSB--UDM-1,wan,120,233160,4728000
2026-08-11T09:48:26.396369Z,NID--UDM-1,wan,120,454200,222240
2026-08-11T09:48:26.396369Z,WTB--UDM-1,wan,120,331560,318960
2026-08-11T09:50:41.527083Z,HAN--UDM-1,wan,120,15960,15960
2026-08-11T09:50:41.527083Z,KLO--UDM-1,wan,120,16080,16080
2026-08-11T09:50:41.527083Z,KNZ--UDM-1,wan,120,51000,51000
2026-08-11T09:50:41.527083Z,LSB--UDM-1,wan,120,626040,4350120
2026-08-11T09:50:41.527083Z,NID--UDM-1,wan,120,25800,25800
2026-08-11T09:50:41.527083Z,WTB--UDM-1,wan,120,43680,45360
2026-08-11T09:52:24.664039Z,HAN--UDM-1,wan,120,49920,49920
2026-08-11T09:52:24.664039Z,KLO--UDM-1,wan,120,20760,36720
2026-08-11T09:52:24.664039Z,KNZ--UDM-1,wan,120,16080,16080
2026-08-11T09:52:24.664039Z,LSB--UDM-1,wan,120,233280,4478640
2026-08-11T09:52:24.664039Z,NID--UDM-1,wan,120,15840,15840
2026-08-11T09:52:24.664039Z,WTB--UDM-1,wan,120,16080,16080
2026-08-11T09:54:26.202268Z,HAN--UDM-1,wan,120,60240,66000
2026-08-11T09:54:26.202268Z,KLO--UDM-1,wan,120,15120,15120
2026-08-11T09:54:26.202268Z,KNZ--UDM-1,wan,120,81960,70320
2026-08-11T09:54:26.202268Z,LSB--UDM-1,wan,120,159360,3907560
2026-08-11T09:54:26.202268Z,NID--UDM-1,wan,120,16080,16080
2026-08-11T09:54:26.202268Z,WTB--UDM-1,wan,120,21360,21360
2026-08-11T09:56:27.667810Z,HAN--UDM-1,wan,120,58560,58560
2026-08-11T09:56:27.667810Z,KLO--UDM-1,wan,120,62880,62880
2026-08-11T09:56:27.667810Z,KNZ--UDM-1,wan,120,617400,562200
